ChEMBL ID;Receptor;Species;Purchasable;No. records;Assay type;Min.;Average;Max.;Unit;Mol. weight;Rot. Bonds;H don;H acc;LogP;Smiles
CHEMBL376063;137097;Smallmolecule;None;-;1;Human;0;Functional;2;5.0;5.0;5.0;EC50;ChEMBL;329;11;2;4;2.3;CCCCC[C@H](O)/C=C/[C@H]1CCC(=O)N1CCSCC(=O)O
CHEMBL376347;137139;Smallmolecule;None;-;1;Human;0;Functional;2;6.9;6.9;6.9;EC50;ChEMBL;361;11;2;3;3.6;CCCCC[C@H](O)CC[C@H]1CCC(=O)N1CCc1ccc(C(=O)O)cc1
CHEMBL222085;83930;Smallmolecule;None;-;1;Human;0;Functional;1;5.7;5.7;5.7;EC50;ChEMBL;341;13;2;4;2.4;CCCCC[C@H](O)/C=C/[C@H]1CCC(=O)N1CCCCOCC(=O)O
CHEMBL231184;85518;Smallmolecule;None;-3162;3;Human;0;Functional;3;5.2;5.2;5.2;Ki;ChEMBL;449;6;1;3;6.8;Cc1ccc(-n2c(C)ccc2-c2cc(Cl)ccc2OCc2ccc(F)cc2)cc1C(=O)O
CHEMBL248679;93363;Smallmolecule;None;-;1;Human;0;Functional;2;9.3;9.3;9.3;EC50;ChEMBL;375;7;1;2;4.6;C/C(=C\C=C\[C@H]1CCC(=O)N1CCc1ccc(C(=O)O)cc1)c1ccccc1
CHEMBL249136;93453;Smallmolecule;None;120;2;Human;0;Functional;2;8.3;8.3;8.3;EC50;ChEMBL;362;11;2;4;2.7;CCCCCC(O)CCN1CCC(=O)N1CCc1ccc(C(=O)O)cc1
CHEMBL249538;93522;Smallmolecule;None;-;1;Human;0;Functional;2;9.7;9.7;9.7;EC50;ChEMBL;460;9;2;4;3.1;O=C(O)c1ccc(CCN2C(=O)CCN2CCC(O)Cc2cccc(Br)c2)cc1
CHEMBL249744;93552;Smallmolecule;None;-;1;Human;0;Functional;2;9.7;9.7;9.7;EC50;ChEMBL;416;9;2;4;3.0;O=C(O)c1ccc(CCN2C(=O)CCN2CCC(O)Cc2cccc(Cl)c2)cc1
CHEMBL249953;93581;Smallmolecule;None;-;1;Human;0;Functional;2;10.0;10.0;10.0;EC50;ChEMBL;460;9;2;4;3.1;O=C(O)c1ccc(CCN2C(=O)CCN2CC[C@@H](O)Cc2cccc(Br)c2)cc1
CHEMBL251294;93812;Smallmolecule;None;891;2;Human;0;Functional;3;10.4;10.4;10.4;EC50;ChEMBL;345;9;2;3;3.0;CCCC[C@H](O)/C=C/[C@H]1CCC(=O)N1CCc1ccc(C(=O)O)cc1
CHEMBL251504;93842;Smallmolecule;None;14;2;Human;0;Functional;2;7.8;7.8;7.8;EC50;ChEMBL;355;9;1;2;4.6;CCCC/C(C)=C/C=C/[C@H]1CCC(=O)N1CCc1ccc(C(=O)O)cc1
CHEMBL251505;93843;Smallmolecule;None;346;2;Human;0;Functional;2;10.0;10.0;10.0;EC50;ChEMBL;355;9;1;2;4.6;CCCC/C(C)=C\C=C\[C@H]1CCC(=O)N1CCc1ccc(C(=O)O)cc1
CHEMBL251709;93880;Smallmolecule;None;97;2;Human;0;Functional;2;8.7;8.7;8.7;EC50;ChEMBL;341;9;1;2;4.2;CCCC/C=C\C=C\[C@H]1CCC(=O)N1CCc1ccc(C(=O)O)cc1
CHEMBL251710;93881;Smallmolecule;None;-;1;Human;0;Functional;2;8.5;8.5;8.5;EC50;ChEMBL;327;7;1;2;3.8;CC/C(C)=C\C=C\[C@H]1CCC(=O)N1CCc1ccc(C(=O)O)cc1
CHEMBL398947;153641;Smallmolecule;None;-;1;Human;0;Functional;2;8.4;8.4;8.4;EC50;ChEMBL;313;6;1;2;3.4;CC(C)=C/C=C/[C@H]1CCC(=O)N1CCc1ccc(C(=O)O)cc1
CHEMBL398948;153642;Smallmolecule;None;1;2;Human;0;Functional;2;7.7;7.7;7.7;EC50;ChEMBL;355;9;1;2;4.6;CCCC/C=C(C)/C=C/[C@H]1CCC(=O)N1CCc1ccc(C(=O)O)cc1
CHEMBL404413;154789;Smallmolecule;None;54;2;Human;0;Functional;2;6.6;6.6;6.6;EC50;ChEMBL;348;9;2;4;2.2;CC(C)CC(O)CCN1CCC(=O)N1CCc1ccc(C(=O)O)cc1
CHEMBL257658;94907;Smallmolecule;None;6;2;Human;0;Functional;2;8.5;8.5;8.5;EC50;ChEMBL;387;10;2;3;4.1;CCCCC(C)(C)[C@H](O)/C=C/[C@H]1CCC(=O)N1CCc1ccc(C(=O)O)cc1
CHEMBL258332;95072;Smallmolecule;None;8317;2;Human;0;Functional;2;10.5;10.5;10.5;EC50;ChEMBL;413;8;2;3;3.7;O=C(O)c1ccc(CCN2C(=O)CC[C@@H]2/C=C/[C@@H](O)Cc2cccc(Cl)c2)cc1
CHEMBL272276;97206;Smallmolecule;None;14454;2;Human;0;Functional;2;10.5;10.5;10.5;EC50;ChEMBL;379;8;2;3;3.1;O=C(O)c1ccc(CCN2C(=O)CC[C@@H]2/C=C/[C@@H](O)Cc2ccccc2)cc1
CHEMBL272277;97207;Smallmolecule;None;10;2;Human;0;Functional;2;9.5;9.5;9.5;EC50;ChEMBL;399;10;2;3;4.2;CCCCC1([C@@H](O)/C=C/[C@H]2CCC(=O)N2CCc2ccc(C(=O)O)cc2)CCC1
CHEMBL1083400;6418;Smallmolecule;None;-;1;Human;0;Functional;2;9.0;8.9;9.0;IC50;ChEMBL;500;6;2;3;6.6;C[C@H](NC(=O)c1cc(Cl)cc2ccn(Cc3ccc(C(F)(F)F)cc3)c12)c1ccc(C(=O)O)cc1
CHEMBL1084551;6717;Smallmolecule;None;-;1;Human;0;Functional;2;7.9;7.9;7.9;IC50;ChEMBL;466;6;2;3;5.9;C[C@H](NC(=O)c1cccc2ccn(Cc3cccc(C(F)(F)F)c3)c12)c1ccc(C(=O)O)cc1
CHEMBL1084552;6718;Smallmolecule;None;-;1;Human;0;Functional;2;8.9;8.8;8.9;IC50;ChEMBL;516;7;2;4;6.4;C[C@H](NC(=O)c1cccc2ccn(Cc3cc(Cl)cc(OC(F)(F)F)c3)c12)c1ccc(C(=O)O)cc1
CHEMBL1084553;6719;Smallmolecule;None;-;1;Human;0;Functional;2;8.6;8.6;8.6;IC50;ChEMBL;466;6;2;3;5.9;C[C@H](NC(=O)c1cccc2ccn(Cc3ccc(C(F)(F)F)cc3)c12)c1ccc(C(=O)O)cc1
